NO;NO.INDUK KARYAWAN;AMOUNT
;A0001;900.000
;A0004;100.000
;A0005;100.000
;A0006;100.000
;A0007;100.000
;A0008;100.000
;A0010;600.000
;A0011;100.000
;A0012;100.000
;A0014;250.000
;A0015;100.000
;A0016;100.000
;A0018;100.000
;A0027;600.000
;A0033;100.000
;A0034;100.000
;A0098;100.000
;A0247;100.000
;A0462;600.000
;A0574;100.000
;A0868;100.000
;A0873;100.000
;A0874;100.000
;A0875;250.000
;A0880;100.000
;A0881;100.000
;A0882;600.000
;A0886;100.000
;A0887;100.000
;A0890;100.000
;A0891;100.000
;A0893;250.000
;A0896;600.000
;A0898;100.000
;A0899;250.000
;A0900;100.000
;A0904;100.000
;A0905;100.000
;A0906;100.000
;A0907;250.000
;A0908;250.000
;A0909;100.000
;A0910;100.000
;A0911;100.000
;A0912;100.000
;A0913;100.000
;A0914;250.000
;A0916;250.000
;A0917;100.000
;A0918;600.000
;A0919;600.000
;A0922;100.000
;A0923;100.000
;A0924;100.000
;A0936;100.000
;A0938;250.000
;A0949;600.000
;A0953;250.000
;A0954;250.000
;A0958;33.333
;A0959;33.333
;A0967;250.000
;A0521;100.000
;A0522;600.000
;A0071;100.000
;A0072;900.000
;A0076;100.000
;A0078;100.000
;A0079;100.000
;A0080;100.000
;A0081;100.000
;A0086;250.000
;A0088;100.000
;A0089;100.000
;A0091;250.000
;A0092;600.000
;A0093;100.000
;A0094;100.000
;A0095;100.000
;A0096;100.000
;A0104;250.000
;A0105;100.000
;A0106;100.000
;A0107;100.000
;A0108;100.000
;A0109;100.000
;A0112;250.000
;A0716;100.000
;A0110;100.000
;A0114;250.000
;A0115;600.000
;A0116;250.000
;A0117;250.000
;A0118;250.000
;A0119;600.000
;A0123;600.000
;A0124;250.000
;A0474;250.000
;A0500;250.000
;A0660;250.000
;A0707;250.000
;A0813;250.000
;A0832;250.000
;A0838;600.000
;A0839;250.000
;A0840;250.000
;A0848;250.000
;A0926;208.333
;A0927;208.333
;A0928;208.333
;A0929;500.000
;A0943;125.000
;A0945;125.000
;A0946;125.000
;A0947;125.000
;A0956;150.000
;A0957;150.000
;A0129;600.000
;A0083;600.000
;A0151;600.000
;A0152;100.000
;A0255;250.000
;A0149;100.000
;A0638;100.000
;A0026;100.000
;A0153;600.000
;A0158;100.000
;A0160;100.000
;A0161;100.000
;A0163;600.000
;A0164;100.000
;A0165;100.000
;A0167;100.000
;A0170;600.000
;A0172;100.000
;A0173;600.000
;A0175;100.000
;A0176;100.000
;A0177;100.000
;A0178;100.000
;A0180;600.000
;A0183;600.000
;A0184;600.000
;A0185;100.000
;A0188;100.000
;A0533;100.000
;A0187;250.000
